Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
24Baker MayfieldCLE,QB,14.0,253.0,418.0,60.5,3010.0,7.2,215.0,71.0,17.0,13.0,43.0,269.0,35.1,83.1
25Lamar JacksonBAL,QB,12.0,246.0,382.0,64.4,2882.0,7.5,240.2,49.0,16.0,13.0,38.0,190.0,50.7,87.0
26Davis MillsHOU,QB,13.0,263.0,394.0,66.8,2664.0,6.8,204.9,67.0,16.0,10.0,31.0,206.0,35.5,88.8
27Tua TagovailoaMIA,QB,13.0,263.0,388.0,67.8,2653.0,6.8,204.1,65.0,16.0,10.0,20.0,152.0,49.7,90.1
28Sam DarnoldCAR,QB,12.0,243.0,406.0,59.9,2527.0,6.2,210.6,63.0,9.0,13.0,35.0,204.0,33.2,71.9
29Daniel JonesNYG,QB,11.0,232.0,361.0,64.3,2428.0,6.7,220.7,54.0,10.0,7.0,22.0,160.0,41.5,84.8
30Zach WilsonNYJ,QB,13.0,213.0,383.0,55.6,2334.0,6.1,179.5,54.0,9.0,11.0,44.0,370.0,28.2,69.7
31Justin FieldsCHI,QB,12.0,159.0,270.0,58.9,1870.0,6.9,155.8,64.0,7.0,10.0,36.0,264.0,26.4,73.2
32Andy DaltonCHI,QB,8.0,149.0,236.0,63.1,1515.0,6.4,189.4,60.0,8.0,9.0,18.0,143.0,33.6,76.9
33Jacoby BrissettMIA,QB,11.0,141.0,225.0,62.7,1283.0,5.7,116.6,52.0,5.0,4.0,19.0,132.0,48.2,78.1
34Jameis WinstonNO,QB,7.0,95.0,161.0,59.0,1170.0,7.3,167.1,72.0,14.0,3.0,11.0,69.0,64.4,102.8
35Trevor SiemianNO,QB,6.0,108.0,188.0,57.4,1154.0,6.1,192.3,46.0,11.0,3.0,9.0,64.0,35.5,88.4
36Tyler HuntleyBAL,QB,7.0,122.0,188.0,64.9,1081.0,5.8,154.4,43.0,3.0,4.0,18.0,107.0,49.0,76.6
37Taysom HillNO,TE,12.0,78.0,134.0,58.2,978.0,7.3,81.5,70.0,4.0,5.0,9.0,64.0,42.5,75.4
38Tyrod TaylorHOU,QB,6.0,91.0,150.0,60.7,966.0,6.4,161.0,52.0,5.0,5.0,13.0,119.0,40.4,76.7
39Mike WhiteNYJ,QB,4.0,88.0,132.0,66.7,953.0,7.2,238.3,28.0,5.0,8.0,4.0,18.0,50.5,75.1
40Mike GlennonNYG,QB,6.0,90.0,167.0,53.9,790.0,4.7,131.7,60.0,4.0,10.0,9.0,68.0,11.9,49.7
41Drew LockDEN,QB,6.0,67.0,111.0,60.4,787.0,7.1,131.2,44.0,2.0,2.0,9.0,52.0,23.4,80.4
42Colt McCoyARI,QB,8.0,74.0,99.0,74.7,740.0,7.5,92.5,50.0,3.0,1.0,6.0,40.0,54.5,101.4
43Geno SmithSEA,QB,4.0,65.0,95.0,68.4,702.0,7.4,175.5,84.0,5.0,1.0,13.0,117.0,45.8,103.0
44Cam NewtonCAR,QB,8.0,69.0,126.0,54.8,684.0,5.4,85.5,64.0,4.0,5.0,10.0,83.0,25.5,64.4
54Josh JohnsonBAL/NYJ,QB,4.0,57.0,85.0,67.1,638.0,7.5,159.5,28.0,5.0,2.0,3.0,23.0,51.7,99.0
45Trey LanceSF,QB,6.0,41.0,71.0,57.7,603.0,8.5,100.5,76.0,5.0,2.0,4.0,15.0,33.4,97.3
46Tim BoyleDET,QB,5.0,61.0,94.0,64.9,526.0,5.6,105.2,42.0,3.0,6.0,0.0,0.0,26.4,63.5
47Case KeenumCLE,QB,7.0,47.0,72.0,65.3,462.0,6.4,66.0,34.0,3.0,1.0,5.0,29.0,36.9,91.3
48Gardner MinshewPHI,QB,4.0,41.0,60.0,68.3,439.0,7.3,109.8,36.0,4.0,1.0,5.0,31.0,60.6,104.8
49Cooper RushDAL,QB,5.0,30.0,47.0,63.8,422.0,9.0,84.4,73.0,3.0,1.0,3.0,19.0,41.8,105.1
